full_id,osm_id,osm_type,amenity,name,long,lat
n260734600,"260734600",node,school,International School Dhaka,90.431369,23.811346
n260734603,"260734603",node,school,American International School / Dhaka,90.419244,23.801036
n266105887,"266105887",node,school,আইডিয়াল স্কুল অ্যান্ড কলেজ,90.422751,23.735459
n266105919,"266105919",node,school,Motijheel Model High School and College,90.424034,23.732957
n363468052,"363468052",node,school,উত্তরা হাই স্কুল এন্ড কলেজ,90.397187,23.871201
n368844285,"368844285",node,school,Teknaf Rifles Public School,92.281517,20.873051
n368845247,"368845247",node,school,Primary School cum Cyclone Center,92.198090,20.984645
n373077652,"373077652",node,school,Dhanmondi Girls School,90.377374,23.748974
n387552313,"387552313",node,school,লালমাটিয়া বালক উচ্চ বিদ্যালয়,90.371196,23.757828
n387552314,"387552314",node,school,Lalmatia Girls High School,90.368221,23.755034
n387552315,"387552315",node,school,Lalmatia Mohila College,90.368589,23.755715
n387552421,"387552421",node,school,Mokbul Hossain Degree College,90.360751,23.754077
n391699655,"391699655",node,school,Aga Khan School,90.402337,23.860989
n391699659,"391699659",node,school,Int. Turkish Hope High School,90.403058,23.861853
n393911182,"393911182",node,school,জগন্নাথ বিশ্ববিদ্যালয়,90.411624,23.709875
n418811438,"418811438",node,school,Maple Bear School,90.418609,23.785648
n513000487,"513000487",node,school,Muslim High School,90.412871,23.709211
n513012558,"513012558",node,school,Dhaka Collegiate School,90.410488,23.707756
n619030745,"619030745",node,school,Siddeshwari Boys School,90.410873,23.745027
n619037739,"619037739",node,school,Shahid Nabi High School,90.422077,23.719369
n655944225,"655944225",node,school,K.L.Jubilee High School & College,90.412737,23.705463
n702518270,"702518270",node,school,Nirala Ideal School,89.554014,22.797446
n702560869,"702560869",node,school,Primary Teachers Training Institute (PTI),89.565525,22.808133
n702560870,"702560870",node,school,St. Joseph High School,89.566952,22.808800
n830068147,"830068147",node,school,Bangladesh Shishu Academy,90.400847,23.728694
n830069053,"830069053",node,school,Dhaka Medical College,90.397424,23.726710
n842546871,"842546871",node,school,Chittagong Govt. High School,91.836718,22.353975
n842550423,"842550423",node,school,Dr Khastagir's Girls' High School,91.834272,22.347725
n1028350774,"1028350774",node,school,B.N College Khulna,89.529847,22.850938
n1121485994,"1121485994",node,school,Engineering University Higher Secondary School,90.393572,23.727711
n1213696939,"1213696939",node,school,Chittagong Collegiate School and College,91.825291,22.333087
n1255160790,"1255160790",node,school,Golden Eagle,90.392316,23.777488
n1419439253,"1419439253",node,school,Pogose School,90.410258,23.709365
n1496151709,"1496151709",node,school,Agrabad Govt. Colony Girls High School,91.809176,22.327132
n1621004498,"1621004498",node,school,Nawab Faizunnesa Girls High School,91.177179,23.462705
n1621004499,"1621004499",node,school,Our Lady of Fatima Girls High School,91.180052,23.467229
n1621214372,"1621214372",node,school,Comilla Modern School,91.175860,23.459219
n1664986100,"1664986100",node,school,Comilla Zilla School,91.180733,23.463047
n1723621140,"1723621140",node,school,,90.363418,23.824580
n1735387947,"1735387947",node,school,Iranian International School,90.378618,23.739586
n1748374114,"1748374114",node,school,Govt Girls College,92.208872,22.217933
n1789214936,"1789214936",node,school,Bangladesh International School & College,90.394671,23.781323
n1800452207,"1800452207",node,school,Airport High School,91.968428,21.449060
n1801057628,"1801057628",node,school,Cox's Bazar Police Line High School,91.973714,21.444761
n1848486960,"1848486960",node,school,Rani Doyamoyi High School,92.171475,22.659160
n1848626345,"1848626345",node,school,Bangladesh Elementery School,91.823019,22.357324
n1934310080,"1934310080",node,school,Kazirbazar Primary School,91.722744,24.574843
n1934310081,"1934310081",node,school,Kazirbazar Aftab Uddin High School,91.722556,24.574501
n1934371659,"1934371659",node,school,Sumari Primary School,91.720743,24.576472
n1950823029,"1950823029",node,school,Rangpur Medical College,89.233973,25.766705
n1950827216,"1950827216",node,school,Can't Pubic school And College,89.229797,25.764237
n1950829214,"1950829214",node,school,Biam School,89.236076,25.760095
n1950831963,"1950831963",node,school,Lalkuthi School,89.235475,25.758897
n1950833430,"1950833430",node,school,Teacher's Training Institute,89.236494,25.757403
n1950835348,"1950835348",node,school,Rangpur Zila School,89.242885,25.757762
n1950838109,"1950838109",node,school,Police Line School And College,89.249105,25.757040
n1950839384,"1950839384",node,school,Technical School And College,89.249197,25.753253
n1950843387,"1950843387",node,school,Koilas Ranjon School,89.253602,25.752486
n1962568044,"1962568044",node,school,St. Mary's Church and School,91.833923,22.348835
n1962569806,"1962569806",node,school,Kazem Ali High School,91.836827,22.351413
n1962590784,"1962590784",node,school,Enayet Bazar Ladies' College,91.829739,22.341512
n1963084251,"1963084251",node,school,Bangladesh Women's Association (BWA) School,91.822357,22.353569
n1963088111,"1963088111",node,school,Ispahani School,91.816142,22.359866
n1963096794,"1963096794",node,school,MES School ,91.836219,22.340629
n1966457230,"1966457230",node,school,Seroil Government High School,88.610589,24.370119
n1969788209,"1969788209",node,school,University of Rajshahi,88.637621,24.368388
n1969788377,"1969788377",node,school,Rajshahi University of Engineering & Technology,88.627003,24.368696
n2070359693,"2070359693",node,school,Malumghat Christian School,92.073294,21.682867
n2070359710,"2070359710",node,school,Memorial Christian School (Primary),92.075881,21.683150
n2277895422,"2277895422",node,school,Pogaldigha Primary Scool,89.822985,24.684242
n2277900482,"2277900482",node,school,Musuddi Afaz Uddin High School,89.899131,24.673023
n2302701701,"2302701701",node,school,Kulkandi High School,89.715712,25.123397
n2303678012,"2303678012",node,school,17non crucho bepari para shulcalipatomicbidara,89.947118,24.931807
n2303691357,"2303691357",node,school,Jeray,89.943319,24.933248
n2303810109,"2303810109",node,school,Jamalpur Highschool,89.940956,24.930880
n2304451774,"2304451774",node,school,,89.767778,24.911661
n2304458537,"2304458537",node,school,,89.734863,24.935349
n2304746135,"2304746135",node,school,,89.726208,25.011692
n2304768733,"2304768733",node,school,,89.733294,25.029936
n2304963748,"2304963748",node,school,,89.803707,25.131304
n2305036772,"2305036772",node,school,,89.858324,24.950900
n2305800906,"2305800906",node,school,,89.938103,24.799248
n2305818760,"2305818760",node,school,,89.972714,24.483636
n2311120478,"2311120478",node,school,Dewangonj Govt. High School,89.765783,25.169070
n2311120900,"2311120900",node,school,Dewangonj Primary School,89.765494,25.168239
