x,y,full_id,osm_id,osm_type,amenity,name,name:am,contact:phone,contact:p.o.box,addr:city,addr:subcity,contact:email,is_in:city,contact:pobox,source:am,addr:kebele,contact:mobile,name:en,addr:postcode,phone,barrier,foot,motorcar,shop,source_ref,bicycle,access,website,operator,addr:street,opening_hours,name:zh,email,branch,description,addr:housenumber,tourism,level,mapillary,name:de
38.804337,9.0001673,n445313466,445313466,node,school,Unity University,ዩኒቲ ዩኒቨርሲቲ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.8024916,9.0006759,n445313467,445313467,node,school,CPU College,ሲፒዩ ኮሌጅ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7572477,9.0368157,n650303286,650303286,node,school,Birhan Ethiopia,ብርሃን ኢትዮጵያ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7492284,9.0436185,n732448178,732448178,node,school,Italian School,የጣልያን ት/ቤት,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7466633,8.937829,n800921431,800921431,node,school,Unique Academy,,"+251 (0) 911 13 81 75, +251 (0) 912 04 63 00, +251 (0) 911 02 00 30, +251 (0) 114 19 27 61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7438228,8.9735813,n801035495,801035495,node,school,Dove Academy,,+251 (0) 11 655 6598,5330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.704704,9.034211,n837433805,837433805,node,school,Kolfe Secondary school,ኮልፌ ሁለተኛ ደረጃ ት/ቤት,+251 (0) 112 79 2157/2016,,Addis Ababa,Kolfe Keranyo,Kolfess@yahoo.com,Addis Ababa,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.801252,9.0016326,n838832131,838832131,node,school,Mackmillan Accademy,ማክሚላን አካዳሚ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7558981,8.9885103,n844762216,844762216,node,school,Abyot Kirs Preparatory School,አብዮት ቅርስ የመሰናዶ ት/ቤት,"+251 (0) 11 466 29 26 , +251 (0) 11 416 75 08 , +251 (0) 11 416 27 98",,,Kirkos,,,4936,"GPS Data, Picture",,,,,,,,,,,,,,,,,,,,,,,,,
38.7525185,8.9889662,n844762235,844762235,node,school,Werha Yekatit Primary School,ወርሃ የካቲት የመጀመሪያ ደረጃ ት/ቤት,+251 (0) 11 416 35 63,,,Kirkos,,,,GPS Data,,,,,,,,,,,,,,,,,,,,,,,,,
38.7550115,9.003797,n846942809,846942809,node,school,Madela Distance Education Academy,ማንዴላ የርቀት ትምህርት አካዳሚ,+251 (0) 114 67 41 67,,,Kirkos,,,5762,"GPS Data, Picture",13/14,+251 (0) 911 41 74 35,Mandela Distance Education Academy,,,,,,,,,,,,,,,,,,,,,,
38.784977,8.880068,n849597032,849597032,node,school,በሰቃ ሁለተኛ ደረጃ ት/ቤት,ሰበቃ ሁለተኛ ደረጃ ት/ቤት,,,,,,Addis Ababa,,,,,Beseka Secondary School,,,,,,,,,,,,,,,,,,,,,,
