id,@id,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amenity,brand,brand:wikidata,brand:wikipedia,building,contact:phone,contact:website,cuisine,delivery,description,drive_through,internet_access,name,opening_hours,operator,outdoor_seating,takeaway,wheelchair,toilets:wheelchair,addr:suburb,smoking,bk-ref,contact:fax,website,indoor,level,name:ja,operator:storenumber,operator:vatin,room,phone,alt_name,access,layer,opening_hours:covid19,payment:account_cards,payment:american_express,payment:coins,payment:girocard,payment:maestro,payment:mastercard,payment:notes,payment:visa,ref,source,survey:date,diet:vegetarian,man_made,surveillance,internet_access:fee,note,fax,start_date,path,x,y
node/248164263,node/248164263,Leipzig,DE,"4","04109",Markt,fast_food,Burger King,Q177054,en:Burger King,,,,burger,,,,,Burger King,"Mo-Fr 00:00-03:00,09:00-24:00; Sa,Su 00:00-06:00,09:00-24:00",,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,surveillance,indoor,,,,,/Users/knut/Downloads/export-3.geojson|layername=export-3|geometrytype=Point,12.3749435000,51.3412859000
node/339459593,node/339459593,Chemnitz,DE,"20","09116",Südring,fast_food,Burger King,Q177054,en:Burger King,,+49 371 8449854,https://www.burgerking.de/,burger,yes,,yes,,Burger King,"Mo-Tu 09:00-22:00; Fr-Sa 09:00-23:00; Su,PH 10:00-22:00",Food Star GmbH,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/knut/Downloads/export-3.geojson|layername=export-3|geometrytype=Point,12.8744724000,50.8112981000
node/382647839,node/382647839,,,,,,fast_food,Burger King,Q177054,en:Burger King,,,,burger,,,,wlan,Burger King,,,,yes,yes,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,no,Vorrübergehend dauerhauft geschlossen,,,/Users/knut/Downloads/export-3.geojson|layername=export-3|geometrytype=Point,12.9296404000,50.8384729000
node/2235398837,node/2235398837,Dresden,,"33","01139",Peschelstraße,fast_food,Burger King,Q177054,en:Burger King,,,,burger,no,,no,wlan,Burger King,"Mo-Sa 10:00-20:00; Fr 10:00-21:00; PH off",Food Star GmbH,,yes,yes,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/knut/Downloads/export-3.geojson|layername=export-3|geometrytype=Point,13.6967411000,51.0847839000
node/2608744242,node/2608744242,Leipzig,DE,"24","04107",Karl-Liebknecht-Straße,fast_food,Burger King,Q177054,en:Burger King,,+49 341 99390361,https://www.burgerking.de/kingfinder/19982?id=976,burger,yes,Behinderten-WC / Wickelraum,,wlan,Burger King,"Mo-Sa 09:00-18:00; Su,PH 11:00-18:00",R&S GastroSysteme Karli GmbH,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,+49 341 99390363,,/Users/knut/Downloads/export-3.geojson|layername=export-3|geometrytype=Point,12.3731499000,51.3284428000
node/4231817282,node/4231817282,,,,,,fast_food,Burger King,Q177054,en:Burger King,,,,burger,no,,,no,Burger King,,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/knut/Downloads/export-3.geojson|layername=export-3|geometrytype=Point,13.5733355000,51.0604783000
node/5907591938,node/5907591938,,,,,Nieskyer Straße,fast_food,Burger King,Q177054,en:Burger King,,,,burger,,,,,Burger King,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/knut/Downloads/export-3.geojson|layername=export-3|geometrytype=Point,14.9714460000,51.1675990000
node/6444717686,node/6444717686,Riesa,,"2","01587",Glogauer Straße,fast_food,Burger King,Q177054,en:Burger King,,,,burger,,,,wlan,Burger King,"Mo-Th 09:00-24:00; Fr-Sa 09:00-01:00; Su 10:00-24:00",BURGER KING Deutschland GmbH,,yes,yes,,,,,,https://www.burgerking.de/,,,,,,,+49 3525 8756896,,,,,,,,,,,,,,,,,,,,,,,/Users/knut/Downloads/export-3.geojson|layername=export-3|geometrytype=Point,13.2719846000,51.2986817000
node/6615079386,node/6615079386,Aue-Bad Schlema,,"85","08280",Lößnitzer Straße,fast_food,Burger King,Q177054,en:Burger King,,,,burger,,,,,Burger King,"Su-Th 09:00-24:00, Fr-Sa 09:00-02:00",BURGER KING Deutschland GmbH,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019/08/28,/Users/knut/Downloads/export-3.geojson|layername=export-3|geometrytype=Point,12.7065540000,50.5968235000
way/33514901,way/33514901,Leipzig,DE,"33","04328",Permoserstraße,fast_food,Burger King,Q177054,en:Burger King,yes,+49 341 2536094,https://www.burgerking.de/,burger,yes,Behinderten-WC / Wickelraum ,yes,wlan,Burger King,"Mo-Su,PH 09:00-23:00",R&S GastroSysteme GmbH Leipzig,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Point?crs=EPSG:4326&field=id:string(0,0)&field=%40id:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Acountry:string(0,0)&field=addr%3Ahousenumber:string(0,0)&field=addr%3Apostcode:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=brand:string(0,0)&field=brand%3Awikidata:string(0,0)&field=brand%3Awikipedia:string(0,0)&field=building:string(0,0)&field=contact%3Aphone:string(0,0)&field=contact%3Awebsite:string(0,0)&field=cuisine:string(0,0)&field=delivery:string(0,0)&field=description:string(0,0)&field=drive_through:string(0,0)&field=internet_access:string(0,0)&field=name:string(0,0)&field=opening_hours:string(0,0)&field=operator:string(0,0)&field=outdoor_seating:string(0,0)&field=takeaway:string(0,0)&field=wheelchair:string(0,0)&field=toilets%3Awheelchair:string(0,0)&field=addr%3Asuburb:string(0,0)&field=smoking:string(0,0)&field=bk-ref:string(0,0)&field=contact%3Afax:string(0,0)&field=website:string(0,0)&field=indoor:string(0,0)&field=level:string(0,0)&field=name%3Aja:string(0,0)&field=operator%3Astorenumber:string(0,0)&field=operator%3Avatin:string(0,0)&field=room:string(0,0)&field=phone:string(0,0)&field=alt_name:string(0,0)&field=access:string(0,0)&field=layer:string(0,0)&field=opening_hours%3Acovid19:string(0,0)&field=payment%3Aaccount_cards:string(0,0)&field=payment%3Aamerican_express:string(0,0)&field=payment%3Acoins:string(0,0)&field=payment%3Agirocard:string(0,0)&field=payment%3Amaestro:string(0,0)&field=payment%3Amastercard:string(0,0)&field=payment%3Anotes:string(0,0)&field=payment%3Avisa:string(0,0)&field=ref:string(0,0)&field=source:string(0,0)&field=survey%3Adate:date(0,0)&field=diet%3Avegetarian:string(0,0)&field=man_made:string(0,0)&field=surveillance:string(0,0)&field=internet_access%3Afee:string(0,0)&field=note:string(0,0)&field=fax:string(0,0)&field=start_date:date(0,0)&uid={69807cee-a5a9-480f-94cf-aa9eb9fdf6a2}",12.4444600442,51.3511816162
