x,y,full_id,osm_id,osm_type,amenity,name,name:kn,barrier,bicycle,foot,motorcycle,wikidata,addr:city,addr:postcode,addr:street,wheelchair,ups_school,phone,website,isced:level,operator,place,school,highway,building,email,addr:housename,designation,alt_name,fax,description,name:en,name:hi,addr:housenumber,opening_hours,cmt,ele,hdop,sat,level,entrance,access,building:levels,isced,addr:country,addr:hamlet,addr:suburb
77.6000871,12.9438378,n6348945618,6348945618,node,school,GHPS Lakkasandra,ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಲಕ್ಕಸಂದ್ರ,,,,,,,,,,,,,2,Department of Education,Lakkasandra,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.6083105,12.9305952,n6348945619,6348945619,node,school,GHPS Suddagunte Palya,ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಸುದ್ದಗುಂಟೆ ಪಾಳ್ಯ,,,,,,,,,,,,,2,Department of Education,Suddagunte Palya,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.6009329,12.9426459,n6348905108,6348905108,node,school,Corporation LPS Lakkasandra,ಕಾರ್ಪೋರೇಶನ್ ಕಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಲಕ್ಕಸಂದ್ರ,,,,,,,,,,,,,2,Department of Education,Lakkasandra,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.6072286,12.9386863,n6348906937,6348906937,node,school,GHPS Dairy Colony,ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಡೈರಿ ಕಾಲೋನಿ,,,,,,,,,,,,,2,Department of Education,Dairy Colony,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.6750136,12.8621626,n6348771620,6348771620,node,school,GHPS Doddanagamangala,ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ದೊಡ್ಡನಾಗಮಂಗಲ,,,,,,,,,,,,,2,Department of Education,Doddanagamangala,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.6158231,12.8887812,n6348775331,6348775331,node,school,GHPS Devarachikkana Halli,ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ದೇವರಚಿಕ್ಕನಹಳ್ಳಿ,,,,,,,,,,,,,2,Department of Education,Devarachikkana Halli,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.639208,12.9673592,n6348764653,6348764653,node,school,GHPS Doopanahalli,ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ದೂಪನಹಳ್ಳಿ,,,,,,,,,,,,,,Department of Education,Doopanahalli,primary,,,,,,,,,,,,,,,,,,,,,2,,,
77.6559357,12.8516643,n6348765081,6348765081,node,school,GHPS Doddathoguru,ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ದೊಡ್ಡತೋಗೂರು,,,,,,,,,,,,,2,Department of Education,Doddathoguru,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.634378,12.9618761,n6348759074,6348759074,node,school,Govt Model Ps Dommaluru,ಸರ್ಕಾರಿ ಮಾದರಿ ಪ್ರಾ.ಶಾಲೆ ದೊಮ್ಮಲೂರು,,,,,,,,,,,,,2,Department of Education,Dommaluru,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.6061116,12.96555,n6348761817,6348761817,node,school,GUPHS Arblen,ಸರ್ಕಾರಿ ಉರ್ದು ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಅಬ್ಲೇನ್,,,,,,,,,,,,,2,Department of Education,,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.6392183,12.8733,n6348722007,6348722007,node,school,GUHPS Subhash Nagar,ಸರ್ಕಾರಿ ಉರ್ದು ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಸುಭಾಷ್ ನಗರ,,,,,,,,,,,,,2,Department of Education,Subhash Nagar,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.5738805,12.885891,n6348741188,6348741188,node,school,GHPS Chunchana Gatta,ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಚುಂಚನ ಘಟ್ಟ,,,,,,,,,,,,,2,Department of Education,Chunchana Gatta,primary,,,,,,,,,,,,,,,,,,,,,,,,
