full_id,osm_id,osm_type,crossing,highway,supervised,amenity,name,descriptio,wikidata,religion,addr_city,addr_postc,addr_stree,name_af,addr_house,access,barrier,school,wikipedia,alt_name,bicycle,foot,motorcar,motorcycle,addr_hou_1,operator,entrance,email,opening_ho,phone,website,name_en,grades,traffic_ca,crossing_r,addr_subur,isced,motor_vehi,operator_t,x,y
n965761190,"965761190",node,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.827,-26.246
n965761026,"965761026",node,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.834,-26.252
n965761123,"965761123",node,,,,school,Hoerskool Bastion,,Q97333497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.822,-26.149
n908312415,"908312415",node,,,,school,Thembalihle Primary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.861,-26.227
n908317661,"908317661",node,,,,school,Senyamo Primary School,,Q97333801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.873,-26.220
n908312401,"908312401",node,,,,school,Thabang Primary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.860,-26.218
n908312413,"908312413",node,,,,school,PJ Simelane High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.860,-26.228
n908470694,"908470694",node,,,,school,George Khoza Secondary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.860,-26.222
n908470702,"908470702",node,,,,school,Boikanyo Primary School,,Q97333711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.860,-26.222
n908317668,"908317668",node,,,,school,Dr Mary Primary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.873,-26.220
n908470677,"908470677",node,,,,school,Ludirile Lower Primary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.870,-26.220
n1069299660,"1069299660",node,,,,school,Vanderbijlpark High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.819,-26.702
n1080381753,"1080381753",node,,,,school,ParkRand Primary,,Q97332051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.277,-26.249
n1038584183,"1038584183",node,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.056,-26.026
n1042907788,"1042907788",node,,,,school,Pinedene Primary School,,Q97335221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.835,-26.720
n1141940716,"1141940716",node,,,,school,St Bennedicts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.137,-26.174
n1329819197,"1329819197",node,,,,,,,,,,,,,,yes,gate,,,,,,,,,,,,,,,,,,,,,,,28.225,-25.757
n1139455299,"1139455299",node,,,,school,creche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.970,-26.186
n966484820,"966484820",node,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.868,-26.282
n966484876,"966484876",node,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.852,-26.282
n965761227,"965761227",node,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.821,-26.161
n965761264,"965761264",node,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.828,-26.221
n966485173,"966485173",node,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.867,-26.275
n987618986,"987618986",node,,,,school,newclaire primary school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.970,-26.185
n966484980,"966484980",node,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.847,-26.279
n966485031,"966485031",node,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.873,-26.295
n1702344139,"1702344139",node,,,,school,Madressa,,,muslim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.303,-26.212
n1709735104,"1709735104",node,,,,school,Actonville Primary School,,Q97334506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.301,-26.217
n1645482035,"1645482035",node,,,,school,Laerskool Edleen,,Q97334045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.207,-26.093
n1690221190,"1690221190",node,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.293,-26.084
n1711253703,"1711253703",node,,,,school,Liverpool Secondary,,Q97334510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.305,-26.210
n1711256823,"1711256823",node,,,,school,William Hills Secondary,,Q97334515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.313,-26.209
n1709735977,"1709735977",node,,,,school,Pioneer Primary School,,Q97334511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.301,-26.218
n1711205400,"1711205400",node,,,,school,Benoni Primary School,,Q97334508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.306,-26.210
n1372320035,"1372320035",node,,,,,,,,,,,,,,,gate,entrance,,,,,,,,,,,,,,,,,,,,,,28.154,-25.889
n1372320049,"1372320049",node,,,,,,,,,,,,,,,gate,entrance,,,,,,,,,,,,,,,,,,,,,,28.152,-25.890
n1372319893,"1372319893",node,,,,,,,,,,,,,,,gate,entrance,,,,,,,,,,,,,,,,,,,,,,28.153,-25.890
n1372319937,"1372319937",node,,,,,,,,,,,,,,,gate,entrance,,,,,,,,,,,,,,,,,,,,,,28.153,-25.888
n1589713292,"1589713292",node,,,,school,Oprah Winfrey Leadership Academy for Girls,,Q7098682,,,,,,,,,,en:Oprah Winfrey Leadership Academy for Girls,,,,,,,,,,,,,,,,,,,,,28.055,-26.547
n1645467931,"1645467931",node,,,,school,Van Riebeeck Park Laerskool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.208,-26.081
n1515833424,"1515833424",node,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.211,-26.088
n1531033512,"1531033512",node,,,,school,Laerskool Helderkruin,,Q97333556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.864,-26.124
n290409907,"290409907",node,,,,school,Meridian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.269,-25.713
n292281238,"292281238",node,,,,school,Laerskool Tygerpoort,,Q97332201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.353,-25.795
n289674067,"289674067",node,,,,school,Hoërskool Birchleigh,,Q97333916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.235,-26.056
n289888823,"289888823",node,,,,school,Norkem Park High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.226,-26.049
n306956820,"306956820",node,,,,school,Montic Primary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.212,-26.422
n306959668,"306959668",node,,,,school,Ithuba Skills College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.211,-26.423
n294746879,"294746879",node,,,,school,Parktown Girls High,,Q97331197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.022,-26.156
n296498884,"296498884",node,,,,school,Jona Convent,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.204,-25.728
n242936984,"242936984",node,,,,school,Piet Van Veerun Primary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.992,-26.191
n243031082,"243031082",node,,,,school,Binham College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.067,-26.130
n113395157,"113395157",node,traffic_signals,traffic_signals,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.061,-26.132
n252954774,"252954774",node,,,,school,Greenside Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.013,-26.153
n253041220,"253041220",node,,,,school,Emmarentia Primary School,,Q97331030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.011,-26.164
n243829557,"243829557",node,,,,school,Klein Pikkewyn,Creche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.891,-26.119
n247761218,"247761218",node,,,,school,Vorentoe High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.993,-26.187
n343491676,"343491676",node,,,,school,Laerskool Kruinsig,,Q97334054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.245,-26.071
n326931552,"326931552",node,,,,school,Fidelitas High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.953,-26.245
n343491193,"343491193",node,,,,school,Saint Matthews,,Q97334278,,Kempton Park,"1619",Sim Road,,,,,,,,,,,,,,,,,,,,,,,,,,,28.254,-26.088
n368236447,"368236447",node,,,,school,Muslim School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.099,-26.040
n369598022,"369598022",node,,,,school,Maria Montessori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.967,-25.979
n368233037,"368233037",node,,,,school,Kyalami Preparatory,,Q97331869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.082,-25.999
n319268026,"319268026",node,,,,school,American Intl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.036,-25.948
n319268033,"319268033",node,,,,school,Riversands Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.021,-25.951
n312330786,"312330786",node,,,,school,Madibatlou,,Q97334298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.253,-25.935
n312348522,"312348522",node,,,,school,Olifantsfontein Primary,,Q97332196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.228,-25.954
n321837023,"321837023",node,,,,school,Boschkop Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.499,-25.857
n325243847,"325243847",node,,,,school,Laerskool Kameeldrift,,Q97332896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.007,-25.712
n319438299,"319438299",node,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.954,-26.238
n320678522,"320678522",node,,,,bench,Place Of Quiet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.233,-25.888
n458411180,"458411180",node,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.085,-26.077
n460246375,"460246375",node,,,,school,Houghton Primary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.066,-26.168
n419830360,"419830360",node,,,,school,Lesedi Secondary,,Q97332600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.446,-25.771
n420887839,"420887839",node,,,,school,Kwena-Molapo Secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.930,-25.966
n479750640,"479750640",node,,,,school,St. Dunstans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.322,-26.147
n479751134,"479751134",node,,,,school,Brandwag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.317,-26.174
n468284433,"468284433",node,,,,school,Tshwane Muslim School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.096,-25.796
n479750621,"479750621",node,,,,school,Rynfield Laerskool,,Q97334563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.324,-26.149
n370175684,"370175684",node,,,,school,Hoërskool Bekker,,Q97333501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.556,-25.948
n370175709,"370175709",node,,,,school,Bekker Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.552,-25.948
n370175564,"370175564",node,,,,school,Laerskool Hekpoort,,Q97333553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.600,-25.897
