full_id,osm_id,osm_type,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amenity,email,name,phone,url,addr:state,website,type,wikimapa:author,opening_hours,addr:suburb,denomination,religion,wheelchair,IPP:BAIRRO,IPP:CHAVE,IPP:CODATIVIDA,IPP:CODBAIRRO,IPP:COD_INEP,IPP:COD_SMA,IPP:CRE,IPP:DESIGNACAO,IPP:ENDNOVO,IPP:FLG_VALIDA,IPP:OBS,IPP:ENDERECO,IPP:TELEFONES,fee,operator,operator:type,building,addr:housename,historic,suburb,alt_name,start_date,school,sport,barrier,entrance,description,short_name,phone:2,level,official_name,school_type,bicycle,foot,addr:place,fax,office,display,support,visibility,bicycle_parking,capacity,covered,pt:bicycle_parking,access,natural,wikidata,wikipedia,name:en,name:pt,language,addr:unit,loc_name,education,min_age,layer,parking,internet_access,internet_access:fee,grades,survey:date,x,y
n338738119,"338738119",node,Rio de Janeiro,BR,"113",22220-000,Rua do Catete,school,zaccaria@zaccaria.g12.br,Colégio Santo Antonio Maria Zaccaria,+55-21-32359400,http://www.zaccaria.g12.br/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.1761700000,-22.9243116000
n344369520,"344369520",node,,,,,,school,,Instituto D'España,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.2010179000,-22.9558206000
n366618621,"366618621",node,,,,,,school,,Escola Rana Cosac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.1621665000,-22.9472049000
n386125889,"386125889",node,,,,,,school,,Colégio Amaro Cavalcanti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.1786250000,-22.9303252000
n401621563,"401621563",node,Rio de Janeiro,BR,"722",,Estrada da Gávea,school,,Escola Carolina Patrício,,http://www.carolinapatricio.com.br/,RJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.2599986000,-22.9957548000
n415816265,"415816265",node,Rio de Janeiro,BR,"459",,Avenida Pasteur,school,,Colégio Mary Poppins,,http://www.marypoppins.com.br/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.1682774000,-22.9539601000
n416166001,"416166001",node,,,"524",,Praia de Botafogo,school,,Colégio Imperial,+55-21-22959694,,,http://www.grupobragacarneiro.com.br/site.php?unidade=3&area=localizacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.1810178000,-22.9513973000
n418012876,"418012876",node,Rio de Janeiro,BR,"117",,Rua Voluntários da Pátria,school,,Microcamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.1854831000,-22.9518849000
n418044481,"418044481",node,Rio de Janeiro,BR,"147",,Rua Voluntários da Pátria,school,,Curso Freitas Ribeiro,,http://www.cursofreitasribeiro.com.br/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.1864390000,-22.9522063000
n422079884,"422079884",node,Rio de Janeiro,BR,"153",22221-000,,school,,Colégio Pinheiro Guimarães,,http://www.pinheiroguimaraes.br/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.1782199000,-22.9260930000
